BIC,description
0,"As reported in bug 1236970, plugins without quota extensions fail to start due to missing table in the database.
This is the side effect of the recent commit: Quota DB driver has been recently enabled by default""
https://review.openstack.org/#/c/49993

If a plugin has no support of quota extensions, quota_driver should fallback to the config quota driver.
Otherwise we need to add quota extension support to all plugins."
0,"If ipv6 module is not loaded in kernel ip6tables command doesn't work and fails in openvswitch-agent when processing ports:
2014-08-05 15:20:57.089 3944 ERROR neutron.plugins.openvswitch.agent.ovs_neutron_agent [-] Error while processing VIF ports
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent Traceback (most recent call last):
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/plugins/openvswitch/agent/ovs_neutron_agent.py"", line 1262, in rpc_loop
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent ovs_restarted)
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/plugins/openvswitch/agent/ovs_neutron_agent.py"", line 1090, in process_network_ports
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent port_info.get('updated', set()))
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/securitygroups_rpc.py"", line 247, in setup_port_filters
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent self.prepare_devices_filter(new_devices)
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/securitygroups_rpc.py"", line 164, in prepare_devices_filter
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent self.firewall.prepare_port_filter(device)
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib64/python2.7/contextlib.py"", line 24, in __exit__
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent self.gen.next()
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/firewall.py"", line 108, in defer_apply
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent self.filter_defer_apply_off()
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/linux/iptables_firewall.py"", line 370, in filter_defer_apply_off
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent self.iptables.defer_apply_off()
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/linux/iptables_manager.py"", line 353, in defer_apply_off
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent self._apply()
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/linux/iptables_manager.py"", line 369, in _apply
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent return self._apply_synchronized()
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/linux/iptables_manager.py"", line 400, in _apply_synchronized
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent root_helper=self.root_helper)
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent File ""/usr/lib/python2.7/site-packages/neutron/agent/linux/utils.py"", line 76, in execute
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent raise RuntimeError(m)
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent RuntimeError:
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent Command: ['sudo', 'neutron-rootwrap', '/etc/neutron/rootwrap.conf', 'ip6tables-restore', '-c']
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent Exit code: 2
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent Stdout: ''
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent Stderr: ""ip6tables-restore v1.4.21: ip6tables-restore: unable to initialize table 'filter'\n\nError occurred at line: 2\nTry `ip6tables-restore -h' or 'ip6tables-restore --help' for more information.\n""
2014-08-05 15:20:57.089 3944 TRACE neutron.plugins.openvswitch.agent.ovs_neutron_agent
2014-08-05 15:20:58.261 3944 INFO neutron.plugins.openvswitch.agent.ovs_neutron_agent [-] Agent out of sync with plugin!
2014-08-05 15:20:58.749 3944 INFO neutron.agent.securitygroups_rpc [-] Preparing filters for devices set([u'5e646c57-0ce4-4705-9281-2cf991cd4135', u'1e0ea538-74a4-429d-97fb-08fbae37ad47'])"
1,Hyper-V can change the order of the mounted drives when rebooting a host and thus passthrough disks can be assigned to the wrong instance resulting in a critical scenario.
1,"When database exception raises in update_device_down, the linuxbridge-agent doesn't deal with them in a proper way that causes accessing not-existed local variables.
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent Traceback (most recent call last):
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent File ""/usr/lib/python2.6/site-packages/neutron/plugins/linuxbridge/agent/linuxbridge_neutron_agent.py"", line 997, in daemon_loop
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent sync = self.process_network_devices(device_info)
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent File ""/usr/lib/python2.6/site-packages/neutron/plugins/linuxbridge/agent/linuxbridge_neutron_agent.py"", line 894, in process_network_devices
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent resync_b = self.treat_devices_removed(device_info['removed'])
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent File ""/usr/lib/python2.6/site-packages/neutron/plugins/linuxbridge/agent/linuxbridge_neutron_agent.py"", line 963, in treat_devices_removed
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent if details['exists']:
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent UnboundLocalError: local variable 'details' referenced before assignment
2014-04-22 20:35:53.436 494 TRACE neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent
2014-04-22 20:35:53.437 494 DEBUG neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent [req-ffc712fc-80af-4837-a068-6e1a076e4ebc None] Loop iteration exceeded interval (2 vs. 51.2715768814)! daemon_loop /usr/lib/python2.6/site-packages/neutron/plugins/linuxbridge/agent/linuxbridge_neutron_agent.py:1011
2014-04-22 20:35:53.438 494 INFO neutron.plugins.linuxbridge.agent.linuxbridge_neutron_agent [req-ffc712fc-80af-4837-a068-6e1a076e4ebc None] Agent out of sync with plugin!"
1,"I run in multi node setup with ML2, L2-population and Linuxbridge MD, and vxlan TypeDriver.
I create a VM with ip 10.0.0.105 and mac 00:00:00:55:55:55
neighbouring table on network node :
# ip neigh show
10.0.0.105 dev vxlan-1001 lladdr 00:00:00:55:55:55 PERMANENT
I delete it.
neighbouring table on network node :
# ip neigh show
10.0.0.105 dev vxlan-1001 FAILED
I recreate a VM with the same ip/mac :
neighbouring table on network node :
# ip neigh show
10.0.0.105 dev vxlan-1001 FAILED
in q-agt.log, we can see that the ""ip neigh add"" command fails."
1,"When the 3PAR driver creates a vlun and then has to fetch it, the fetching could return the wrong vlun.
When a volume is exported to the same host more than once, we will have multiple LUN ids associated with that volume.
We have to make sure we get the correct LUN for the VLUN we just created. This is especially important
 in a multi-attach scenario."
1,"This was reported by Michael Turek as he was testing this while the patches were still in flight See: https://review.openstack.org/#/c/114938/26/nova/virt/hardware.py
As described on there - the code there makes a bad assumption about the format in which it will get the data in the scheduler, which results in:
2014-09-15 10:45:44.906 ERROR oslo.messaging.rpc.dispatcher [req-f29a469e-268d-49bf-abfa-0ccb228d768c admin admin] Exception during message handling: An object of type InstanceNUMACell is required here
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher Traceback (most recent call last):
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/usr/lib/python2.7/site-packages/oslo/messaging/rpc/dispatcher.py"", line 134, in _dispatch_and_reply
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher incoming.message))
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/usr/lib/python2.7/site-packages/oslo/messaging/rpc/dispatcher.py"", line 177, in _dispatch
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher return self._do_dispatch(endpoint, method, ctxt, args)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/usr/lib/python2.7/site-packages/oslo/messaging/rpc/dispatcher.py"", line 123, in _do_dispatch
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher result = getattr(endpoint, method)(ctxt, **new_args)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/usr/lib/python2.7/site-packages/oslo/messaging/rpc/server.py"", line 139, in inner
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher return func(*args, **kwargs)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/scheduler/manager.py"", line 175, in select_destinations
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher filter_properties)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/scheduler/filter_scheduler.py"", line 147, in select_destinations
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher filter_properties)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/scheduler/filter_scheduler.py"", line 300, in _schedule
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher chosen_host.obj.consume_from_instance(context, instance_properties)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/scheduler/host_manager.py"", line 252, in consume_from_instance
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher self, instance)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/virt/hardware.py"", line 978, in get_host_numa_usage_from_instance
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher instance_numa_topology = instance_topology_from_instance(instance)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/virt/hardware.py"", line 949, in instance_topology_from_instance
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher cells=cells)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/base.py"", line 242, in __init__
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher self[key] = kwargs[key]
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/base.py"", line 474, in __setitem__
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher setattr(self, name, value)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/base.py"", line 75, in setter
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher field_value = field.coerce(self, name, value)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/fields.py"", line 189, in coerce
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher return self._type.coerce(obj, attr, value)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/fields.py"", line 388, in coerce
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher obj, '%s[%i]' % (attr, index), element)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/fields.py"", line 189, in coerce
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher return self._type.coerce(obj, attr, value)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher File ""/opt/stack/nova/nova/objects/fields.py"", line 474, in coerce
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher self._obj_name)
2014-09-15 10:45:44.906 TRACE oslo.messaging.rpc.dispatcher ValueError: An object of type InstanceNUMACell is required here"
0,"When I do run_tests.sh in cinder I get the following error at the end of the run.
vagrant@devstack:/opt/stack/cinder$ ./run_tests.sh
 [SNIP]
Slowest 10 tests took 11.54 secs:
cinder.tests.api.contrib.test_volume_actions.VolumeRetypeActionsTest
    test_update_readonly_flag 1.12
cinder.tests.test_storwize_svc.StorwizeSVCDriverTestCase
    test_storwize_svc_host_maps 1.39
    test_storwize_svc_multi_host_maps 1.11
    test_storwize_svc_retype_need_copy 1.09
    test_storwize_svc_retype_only_change_iogrp 1.09
    test_storwize_svc_snapshots 1.13
    test_storwize_svc_volume_migrate 1.13
    test_storwize_svc_volume_params 1.15
    test_storwize_terminate_connection 1.10
    test_storwize_vdisk_copy_ops 1.23
Ran 3083 tests in 148.093s
OK
No handlers could be found for logger ""cinder.volume.drivers.san.hp.hp_lefthand_rest_proxy""
vagrant@devstack:/opt/stack/cinder$"
1,"the default value of ""quota_firewall_rule"" is ""-1"", and this means unlimited. There will be potential security issue if openstack admin do not modify this default value.
A bad tenant User can create unlimited firewall rules to ""attack"" network node, in the backend, we will have a large number of iptables rules. This will make the network node crash or very slow.
So I suggest we use another number but not ""-1"" here."
0,"ML2 plugin is not loaded properly in TestMl2SGServerRpcCallBack.
By grepping a result in .testrepository, test_extension_security_group.SecurityGroupTestPlugin is loaded as a core plugin in ML2 test. It means Ml2 plugin is not tested in this case.
$ OS_DEBUG=1 python setup.py testr --slowest --testr-args='neutron.tests.unit.ml2'
$ grep ""Loading Plugin"" .testrepository/235 | cut -d ']' -f 2 | cut -d : -f 2 | sort | uniq -c
    835 neutron.plugins.ml2.plugin.Ml2Plugin
     35 neutron.services.l3_router.l3_router_plugin.L3RouterPlugin
     14 neutron.tests.unit.test_extension_security_group.SecurityGroupTestPlugin
    137 neutron.tests.unit.test_l3_plugin.TestL3NatServicePlugin"
1,ARNING nova.network.neutronv2 [req-eb54925d-c466-4069-be4e-691e155ea85d None None] Using neutron_admin_tenant_name for authentication is deprecated and will be removed in the next release. Use neutron_admin_tenant_id instead.
1,"When user passes only white spaces to flavor name, it creates flavor successfully. Since name is a mandatory parameter, it should restrict user from passing white spaces. Also leading and trailing white spaces should be removed before saving it to the backend similar to the instance name.
{
    ""flavor"": {
        ""name"": "" ""
        ""ram"": 1024,
        ""vcpus"": 2,
        ""disk"": 10,
        ""id"": ""10"",
        ""os-flavor-access:is_public"": false
    }
}
For example
name = "" "" #not allowed
name = ""extra large"" #allowed
name = "" extra large "" #allowed, but leading and trailing white spaces will be trimmed before saving it to the backend.
Actual output: HTTP/1.1 200 OK
Expected output: HTTP/1.1 400 Bad Request"
1,"Glance v2 api can not set or delete a property of a image when the value of the property is an empty string.
__delitem__ and __setitem__ methods of ExtraPropertiesProxy class in glance/api/property_protections.py may have some problems. When the value of a property is an empty string, the methods will raise KeyError."
0,The Big Switch plugin unnecessarily deletes individual ports from the controller when a network is being deleted. This isn't needed because the controller will automatically clean up the ports when their parent network is deleted.
1,"While running Neutron Tempest tests for Cisco N1KV plugin, XML tests fail with the following trace:
FAIL: tempest.api.network.test_networks.BulkNetworkOpsTestXML.test_bulk_create_delete_network[gate,smoke]
tags: worker-0
----------------------------------------------------------------------
Empty attachments:
  stderr
  stdout
pythonlogging:'': {{{
2014-02-13 11:08:50,454 Request: POST http://192.168.255.184:9696/v2.0/networks
2014-02-13 11:08:50,454 Request Headers: {'Content-Type': 'application/xml', 'Accept': 'application/xml', 'X-Auth-Token': '<Token omitted>'}
2014-02-13 11:08:50,454 Request Body: <?xml version=""1.0"" encoding=""UTF-8""?>
<networks xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""><network ><name >network--331846832</name></network><network ><name >network--859697792</name></network></networks>
2014-02-13 11:08:51,051 Response Status: 201
2014-02-13 11:08:51,051 Glance request id req-b2eb0771-614b-4edd-a4f8-df8c9f60e0dd
2014-02-13 11:08:51,051 Response Headers: {'content-length': '962', 'date': 'Thu, 13 Feb 2014 19:08:51 GMT', 'content-type': 'application/xml; charset=UTF-8', 'connection': 'close'}
2014-02-13 11:08:51,051 Response Body: <?xml version='1.0' encoding='UTF-8'?>
<networks xmlns=""http://openstack.org/quantum/api/v2.0"" xmlns:quantum=""http://openstack.org/quantum/api/v2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""><network><status>ACTIVE</status><subnets quantum:type=""list"" /><name>network--331846832</name><admin_state_up quantum:type=""bool"">True</admin_state_up><tenant_id>770dbef985aa4f3583880717ea3ac943</tenant_id><n1kv:profile_id>1e82eb72-5514-4972-a76a-b1202e46c057</n1kv:profile_id><shared quantum:type=""bool"">False</shared><id>908124c9-f76c-4861-a875-21f9793d09f7</id></network><network><status>ACTIVE</status><subnets quantum:type=""list"" /><name>network--859697792</name><admin_state_up quantum:type=""bool"">True</admin_state_up><tenant_id>770dbef985aa4f3583880717ea3ac943</tenant_id><n1kv:profile_id>1e82eb72-5514-4972-a76a-b1202e46c057</n1kv:profile_id><shared quantum:type=""bool"">False</shared><id>50fff0cb-e592-4916-b7f2-1047c9174705</id></network></networks>
}}}
Traceback (most recent call last):
  File ""tempest/api/network/test_networks.py"", line 311, in test_bulk_create_delete_network
    resp, body = self.client.create_bulk_network(2, network_names)
  File ""tempest/services/network/network_client_base.py"", line 186, in create_bulk_network
    body = {'networks': self.deserialize_list(body)}
  File ""tempest/services/network/xml/network_client.py"", line 43, in deserialize_list
    return parse_array(etree.fromstring(body), self.PLURALS)
  File ""lxml.etree.pyx"", line 2754, in lxml.etree.fromstring (src/lxml/lxml.etree.c:54631)
  File ""parser.pxi"", line 1578, in lxml.etree._parseMemoryDocument (src/lxml/lxml.etree.c:82748)
  File ""parser.pxi"", line 1457, in lxml.etree._parseDoc (src/lxml/lxml.etree.c:81546)
  File ""parser.pxi"", line 965, in lxml.etree._BaseParser._parseDoc (src/lxml/lxml.etree.c:78216)
  File ""parser.pxi"", line 569, in lxml.etree._ParserContext._handleParseResultDoc (src/lxml/lxml.etree.c:74472)
  File ""parser.pxi"", line 650, in lxml.etree._handleParseResult (src/lxml/lxml.etree.c:75363)
  File ""parser.pxi"", line 590, in lxml.etree._raiseParseError (src/lxml/lxml.etree.c:74696)
XMLSyntaxError: Namespace prefix n1kv on profile_id is not defined, line 2, column 211"
1,"The update quota sets API should check whether 'quota_set' is in body.
The code to update quota sets does the following:
for key in body['quota_set'].keys():"
0,"Currently there is one ML2 driver for cisco nexus in
    neutron/plugins/ml2/drivers/cisco
It needs to go down a level so other cisco drivers can live alongside it:
    neutron/plugins/ml2/drivers/cisco/apic
    neutron/plugins/ml2/drivers/cisco/nexus
    neutron/plugins/ml2/drivers/cisco/ucs
    neutron/plugins/ml2/drivers/cisco/..."
1,"Rescuing an instance seems to guess the image format at some point. This allows reading files from the compute host via the qcow2 backing file.
Requirements:
- instances spawned using libvirt
- use_cow_images = False in the config
To reproduce:
1. Create a qcow2 file backed by the path you want to read from the compute host. (qemu-img create -f qcow2 -b /path/to/the/file $((1024*1024)) evil.qcow2)
2. Spawn an instance, scp the file into it.
3. Overwrite the disk inside the instance (dd if=evil.qcow2 of=/dev/vda)
4. Shutdown the instance.
5. Rescue the instance
6. While in rescue mode, login and read /dev/vdb - beginning should be read from the qcow backing file
Libvirt description of the rescued instance will contain the entry for the second disk with attribute type=""qcow2"", even though it should be ""raw"" - same as the original instance.
Mitigating factors:
- files have to be readable by libvirt/kvm
- apparmor/selinux will limit the number of accessible files
- only full blocks of the file are visible in the rescued instance, so short files will not be available at all and long files are going to be truncated
Possible targets:
- private snapshots with known uuids, or instances of other tenants are a good target for this attack"
0,"Error 242 occurs fairly often in gate tests: http://logstash.openstack.org/#eyJzZWFyY2giOiJcIkV4aXQgY29kZTogMjQyXCIgIiwiZmllbGRzIjpbImZpbGVuYW1lIl0sIm9mZnNldCI6MCwidGltZWZyYW1lIjoiNDMyMDAiLCJncmFwaG1vZGUiOiJjb3VudCIsInRpbWUiOnsidXNlcl9pbnRlcnZhbCI6MH0sInN0YW1wIjoxMzg1MzE3OTg4NTQxLCJtb2RlIjoiIiwiYW5hbHl6ZV9maWVsZCI6IiJ9
This is actual an ALARM_CLOCK error [142] (rootwrap adds 100 to the error code), and means open vswitch times out; as the default timeout is 2 seconds there is a chance they could occur quite often in a rather stressful scenario as the one represented by parallel tests in tenant isolation.
It might be therefore advisable to allow for a configurable timeout on ovs commands, and increase this timeout for gate tests.
Kernel logs do not provide enough additional information.
It might be also worth adding open vswitch logs to the logs collected by devstack-gate"
1,"When we only install neutron-linuxbridge-agent package on RHEL6.5, the dhcp agent can not be started successfully. That is because there is hard code to use openvswitch.common plugin in nuetron.agent.linux.ovs_lib.py.
[root@osee15-control01 neutron]# /usr/bin/neutron-dhcp-agent --log-file /var/log/neutron/dhcp-agent.log --config-file /etc/neutron/neutron.conf --config-file /etc/neutron/dhcp_agent.ini
Traceback (most recent call last):
  File ""/usr/bin/neutron-dhcp-agent"", line 6, in <module>
    from neutron.agent.dhcp_agent import main
  File ""/usr/lib/python2.6/site-packages/neutron/agent/dhcp_agent.py"", line 27, in <module>
    from neutron.agent.linux import interface
  File ""/usr/lib/python2.6/site-packages/neutron/agent/linux/interface.py"", line 26, in <module>
    from neutron.agent.linux import ovs_lib
  File ""/usr/lib/python2.6/site-packages/neutron/agent/linux/ovs_lib.py"", line 31, in <module>
    from neutron.plugins.openvswitch.common import constants
ImportError: No module named openvswitch.common"
